ID,Value
1,57
2,45
3,28
4,58
5,22
6,53
7,72
8,42
9,52
10,58
11,19
12,35
13,25
14,40
15,48
16,47
17,36
18,48
19,63
20,55
21,68
22,35
23,57
24,31
25,29
26,66
27,88
28,57
29,49
30,32
31,60
32,26
33,60
34,57
35,52
36,37
37,29
38,32
39,42
40,81
41,49
42,55
43,34
44,53
45,70
46,67
47,54
48,67
49,25
50,40
51,34
52,90
53,42
54,33
55,52
56,39
57,35
58,50
59,59
60,28
61,33
62,56
63,58
64,44
65,31
66,59
67,54
68,79
69,62
70,77
71,64
72,67
73,41
74,10
75,42
76,69
77,51
78,55
79,32
80,39
81,57
82,58
83,44
84,61
85,63
86,27
87,19
88,53
89,47
90,45
91,67
92,59
93,51
94,67
95,37
96,16
97,70
98,47
99,28
100,17
101,59
102,25
103,68
104,43
105,46
106,60
107,58
108,59
109,50
110,50
111,57
112,44
113,56
114,17
115,42
116,62
117,42
118,27
119,26
120,53
121,63
122,50
123,68
124,31
125,48
126,40
127,55
128,50
129,52
130,61
131,44
132,56
133,66
134,50
135,22
136,58
137,51
138,48
139,40
140,33
141,52
142,47
143,57
144,29
145,53
146,39
147,71
148,38
149,39
150,8
151,53
152,57
153,55
154,64
155,53
156,66
157,62
158,45
159,31
160,53
161,54
162,26
163,42
164,57
165,54
166,46
167,30
168,67
169,47
170,57
171,56
172,56
173,73
174,40
175,58
176,53
177,57
178,46
179,31
180,35
181,19
182,51
183,32
184,45
185,55
186,63
187,20
188,19
189,47
190,64
191,52
192,61
193,62
194,60
195,63
196,43
197,60
198,48
199,62
200,81
201,38
202,49
203,56
204,45
205,86
206,42
207,24
208,40
209,64
210,53
211,44
212,55
213,45
214,37
215,80
216,65
217,49
218,59
219,49
220,49
221,47
222,69
223,73
224,57
225,71
226,45
227,37
228,54
229,62
230,43
231,12
232,66
233,51
234,38
235,56
236,58
237,55
238,35
239,47
240,28
241,58
242,46
243,42
244,49
245,57
246,42
247,49
248,66
249,66
250,60
251,50
252,56
253,23
254,51
255,73
256,66
257,53
258,62
259,46
260,51
261,49
262,64
263,61
264,32
265,42
266,39
267,49
268,66
269,30
270,75
271,60
272,61
273,55
274,48
275,53
276,43
277,38
278,69
279,52
280,42
281,39
282,48
283,41
284,49
285,64
286,29
287,43
288,14
289,21
290,30
291,17
292,35
293,33
294,56
295,37
296,71
297,56
298,52
299,70
300,49
301,35
302,24
303,50
304,31
305,47
306,44
307,54
308,67
309,49
310,40
311,47
312,63
313,52
314,17
315,54
316,40
317,61
318,66
319,57
320,73
321,39
322,85
323,46
324,33
325,56
326,77
327,50
328,73
329,24
330,39
331,50
332,42
333,14
334,63
335,83
336,50
337,34
338,47
339,40
340,67
341,13
342,37
343,63
344,65
345,52
346,50
347,34
348,40
349,67
350,34
351,25
352,46
353,49
354,36
355,62
356,27
357,56
358,41
359,55
360,52
361,35
362,53
363,48
364,69
365,65
366,62
367,67
368,34
369,43
370,27
371,37
372,31
373,74
374,66
375,48
376,39
377,57
378,47
379,34
380,40
381,49
382,68
383,17
384,47
385,52
386,83
387,47
388,38
389,32
390,51
391,50
392,42
393,64
394,55
395,36
396,66
397,71
398,57
399,72
400,42
401,36
402,75
403,72
404,40
405,11
406,42
407,84
408,63
409,40
410,55
411,35
412,71
413,49
414,67
415,51
416,60
417,40
418,51
419,45
420,31
421,51
422,39
423,53
424,33
425,67
426,59
427,50
428,67
429,60
430,69
431,57
432,58
433,74
434,46
435,53
436,58
437,42
438,11
439,10
440,37
441,49
442,66
443,60
444,59
445,55
446,36
447,13
448,65
449,48
450,44
451,78
452,67
453,67
454,60
455,20
456,66
457,41
458,62
459,61
460,43
461,50
462,63
463,38
464,39
465,33
466,45
467,42
468,28
469,70
470,28
471,79
472,62
473,39
474,63
475,68
476,35
477,54
478,48
479,41
480,27
481,58
482,48
483,75
484,53
485,58
486,35
487,61
488,19
489,65
490,37
491,49
492,45
493,30
494,29
495,35
496,38
497,36
498,33
499,12
500,43
501,62
502,49
503,42
504,68
505,40
506,67
507,34
508,30
509,49
510,63
511,47
512,48
513,53
514,50
515,76
516,21
517,30
518,40
519,52
520,78
521,52
522,64
523,57
524,43
525,16
526,34
527,66
528,35
529,48
530,50
531,42
532,42
533,38
534,58
535,63
536,22
537,69
538,39
539,49
540,51
541,55
542,32
543,43
544,57
545,55
546,55
547,67
548,54
549,51
550,36
551,64
552,62
553,66
554,70
555,37
556,74
557,51
558,43
559,38
560,64
561,13
562,28
563,65
564,47
565,81
566,39
567,66
568,34
569,56
570,53
571,58
572,23
573,45
574,30
575,24
576,40
577,52
578,40
579,96
580,28
581,52
582,46
583,38
584,37
585,54
586,36
587,58
588,47
589,51
590,30
591,43
592,43
593,41
594,61
595,70
596,65
597,54
598,78
599,43
600,62
601,37
602,58
603,32
604,63
605,39
606,51
607,50
608,22
609,55
610,55
611,51
612,25
613,61
614,47
615,42
616,62
617,28
618,47
619,68
620,72
621,51
622,64
623,47
624,38
625,70
626,78
627,53
628,49
629,54
630,48
631,50
632,61
633,39
634,57
635,38
636,47
637,44
638,37
639,34
640,35
641,53
642,17
643,61
644,45
645,52
646,60
647,53
648,14
649,41
650,68
651,48
652,43
653,37
654,45
655,38
656,54
657,46
658,44
659,52
660,38
661,61
662,61
663,57
664,48
665,19
666,64
667,44
668,31
669,31
670,73
671,8
672,56
673,27
674,49
675,45
676,44
677,43
678,38
679,47
680,45
681,71
682,84
683,51
684,-6
685,59
686,64
687,60
688,38
689,49
690,63
691,76
692,60
693,36
694,54
